gini_final,mean_wealth_final,total_wealth_final,alive_final,upper_frac_final,lower_frac_final,stability_final,regime_final,coop_share_final,comp_share_final,neutral_share_final,dominant_strategy_final,strategy_entropy_final,gini_mean,gini_std,gini_max,gini_min,gini_trend,n_collapses,total_collapse_steps,mean_collapse_duration,frac_collapsed,strategic_volatility,condition,rep,seed,actual_steps
0.3820140009351881,170.22344547685353,55152.39633450054,324,0.18518518518518517,0.24691358024691357,0.24922805249608188,collapsed,0.13271604938271606,0.6635802469135802,0.2037037037037037,competitive,1.2468843887130752,0.2730327417255028,0.05856308737057076,0.43202984588375504,0.20626791073451148,0.00011706562328887053,385,487,1.264935064935065,0.32466666666666666,0.00333555703802535,baseline,8,47646,1500
0.4791852553211722,113.72988306245419,27750.091467238824,244,0.2786885245901639,0.3442622950819672,0.12863069949872588,collapsed,0.15163934426229508,0.5819672131147541,0.26639344262295084,competitive,1.3755415451662243,0.42323738477634076,0.0930127725649931,0.5079542944942359,0.23853466391170214,0.0001767825760993346,89,1141,12.820224719101123,0.7606666666666667,0.00133422281521014,baseline,9,47647,1500
0.47618544060957985,116.40303513647933,29915.58003007519,257,0.20233463035019456,0.35019455252918286,0.17636088941697092,collapsed,0.15953307392996108,0.5797665369649806,0.2607003891050584,competitive,1.3840536639842507,0.41351017532918294,0.09835325766219147,0.5076204451402602,0.2328217879774347,0.00019158130073260266,123,1094,8.894308943089431,0.7293333333333333,0.00066711140760507,baseline,6,47644,1500
0.40206307091683147,206.36149347905044,67273.84687417044,326,0.23006134969325154,0.254601226993865,0.24647290886109569,collapsed,0.1441717791411043,0.549079754601227,0.3067484662576687,competitive,1.4007087703764047,0.3132671840003474,0.06490046124178796,0.4103075818480444,0.20829866023155771,0.000144106177904047,397,687,1.730478589420655,0.458,0.00066711140760507,baseline,7,47645,1500
0.5091905684024327,161.23374168936127,49821.22618201263,309,0.27184466019417475,0.4336569579288026,0.01,collapsed,0.12944983818770225,0.6925566343042071,0.1779935275080906,competitive,1.1920913672920892,0.36740065882018164,0.11084069350945402,0.5240156641671377,0.214939076697186,0.0002497204997968807,212,876,4.132075471698113,0.584,0.004002668445630421,baseline,10,47648,1500
0.2541197091423868,329.47051036967014,96534.85953831335,293,0.18088737201365188,0.11604095563139932,0.2532047827880854,stressed,0.15699658703071673,0.5187713310580204,0.3242320819112628,competitive,1.4374015137618805,0.3298237526123574,0.04809198190447845,0.4105989647226981,0.25277590541488176,2.0205399567173935e-07,434,788,1.8156682027649769,0.5253333333333333,0.00066711140760507,baseline,11,47649,1500
0.32715055612663074,252.8286428994289,89248.51094349842,353,0.19830028328611898,0.2237960339943343,0.24952115787424764,collapsed,0.1954674220963173,0.5864022662889519,0.21813031161473087,competitive,1.3910525564055674,0.2603549301871277,0.03827535567485475,0.42777830289287994,0.20179364324425078,7.577951371858672e-05,446,458,1.0269058295964126,0.30533333333333335,0.00133422281521014,baseline,2,47640,1500
0.29251329802881604,181.38730314206987,55323.12745833131,305,0.15081967213114755,0.16065573770491803,0.2523888044445611,stressed,0.19344262295081968,0.6,0.20655737704918034,competitive,1.3706403652409924,0.3204542094284488,0.049549755893600764,0.423445268671886,0.2200162098077141,6.870608569158251e-05,449,726,1.6169265033407572,0.484,0.00133422281521014,baseline,3,47641,1500
0.34785716809446293,268.2210685178097,93072.71077567997,347,0.16714697406340057,0.2132564841498559,0.2454943961721423,collapsed,0.15561959654178675,0.6657060518731989,0.1786743515850144,competitive,1.2523995617196935,0.2771933547189113,0.045107175091023397,0.444679347331179,0.20739099461763505,9.45221409555155e-05,453,497,1.0971302428256071,0.3313333333333333,0.00133422281521014,baseline,0,47638,1500
0.3388485167199563,274.0321898556568,91800.78360164502,335,0.1373134328358209,0.23582089552238805,0.24866717011997078,collapsed,0.16716417910447762,0.6,0.23283582089552238,competitive,1.3631377670363412,0.28836670747116855,0.04692976723347101,0.41364623200306977,0.2199596784450815,9.940537954834145e-05,477,590,1.2368972746331237,0.3933333333333333,0.00133422281521014,baseline,1,47639,1500
